[00:37:43]	Řõšš has connected.
[02:14:52]	Test Test entered observer.
[02:14:52]	Test Test exited observer at their location.
[02:14:53]	Test Test entered observer.
[02:14:54]	Test Test exited observer at their location.
[02:14:54]	Test Test entered observer.
[02:14:58]	Test Test exited observer at their location.
[02:15:01]	Егор Егор has spawned a 'Entity [3087][ix_rationdispenser]'.
[02:15:16]	Builder Bob exited observer at their location.
[02:15:25]	Builder Bob entered observer.
[02:15:31]	Test Test has spawned 'models/props_pipes/metal_pipe_002_straight_128_broken.mdl'.
[02:15:32]	Егор Егор has spawned a 'Entity [3141][ix_rationdispenser]'.
[02:15:40]	Test Test has spawned 'models/props_pipes/metal_pipe_002_straight_128.mdl'.
[02:15:43]	Майкл Скофилд exited observer at their location.
[02:15:44]	Builder Bob exited observer at their location.
[02:15:47]	W00KI exited observer at their location.
[02:15:51]	W00KI has spawned 'models/union/props/union_tv_small.mdl'.
[02:15:53]	Test Test has spawned 'models/props_pipes/metal_pipe_002_straight_128.mdl'.
[02:15:54]	Test Test has spawned 'models/props_pipes/metal_pipe_002_straight_128.mdl'.
[02:15:54]	Майкл Скофилд entered observer.
[02:15:55]	Test Test has spawned 'models/props_pipes/metal_pipe_002_straight_128.mdl'.
[02:15:55]	Егор Егор has spawned a 'Entity [3153][ix_rationdispenser]'.
[02:15:58]	Test Test entered observer.
[02:15:59]	W00KI entered observer.
[02:15:59]	Test Test has spawned 'models/props_pipes/metal_pipe_002_straight_128_broken.mdl'.
[02:16:21]	Егор Егор used command '/CharGiveFlag Майкл ept'.
[02:16:22]	Майкл Скофилд exited observer at their location.
[02:16:26]	W00KI has spawned 'models/union/props/consulcast_statue.mdl'.
[02:16:30]	Егор Егор has spawned a 'Entity [3086][ix_rationdispenser]'.
[02:16:32]	Майкл Скофилд entered observer.
[02:16:40]	Test Test exited observer at their location.
[02:16:44]	W00KI exited observer at their location.
[02:16:46]	Егор Егор has spawned a 'Entity [3138][ix_rationdispenser]'.
[02:16:47]	Test Test has spawned 'models/props_pipes/metal_pipe_002_straight_128b.mdl'.
[02:16:48]	Test Test entered observer.
[02:16:49]	W00KI has spawned 'models/union/props/greatleader statue.mdl'.
[02:16:50]	W00KI entered observer.
[02:16:56]	Егор Егор has spawned a 'Entity [3159][ix_rationdispenser]'.
[02:16:56]	Builder Bob entered observer.
[02:16:57]	Test Test has spawned 'models/props_pipes/metal_pipe_002_straight_128.mdl'.
[02:17:01]	Test Test has spawned 'models/props_pipes/metal_pipe_002_straight_128.mdl'.
[02:17:01]	Builder Bob exited observer at their location.
[02:17:01]	Builder Bob entered observer.
[02:17:03]	Builder Bob exited observer at their location.
[02:17:05]	W00KI exited observer at their location.
[02:17:06]	Builder Bob entered observer.
[02:17:08]	Builder Bob exited observer at their location.
[02:17:14]	W00KI entered observer.
[02:17:16]	Test Test has spawned 'models/props_pipes/metal_pipe_001_turn_90b.mdl'.
[02:17:16]	Майкл Скофилд exited observer at their location.
[02:17:17]	Test Test has spawned 'models/props_pipes/metal_pipe_001_turn_90b.mdl'.
[02:17:18]	Майкл Скофилд entered observer.
[02:17:19]	Майкл Скофилд exited observer at their location.
[02:17:19]	Майкл Скофилд entered observer.
[02:17:20]	Test Test has spawned 'models/props_pipes/metal_pipe_001_turn_90a.mdl'.
[02:17:21]	Майкл Скофилд exited observer at their location.
[02:17:21]	Test Test has spawned 'models/props_pipes/metal_pipe_001_turn_45.mdl'.
[02:17:22]	Майкл Скофилд entered observer.
[02:17:22]	Майкл Скофилд exited observer at their location.
[02:17:23]	Test Test has spawned 'models/props_pipes/metal_pipe_001_straight_8.mdl'.
[02:17:24]	Майкл Скофилд entered observer.
[02:17:24]	Test Test has spawned 'models/props_pipes/metal_pipe_001_straight_12.mdl'.
[02:17:24]	Майкл Скофилд exited observer at their location.
[02:17:25]	Майкл Скофилд entered observer.
[02:17:25]	Test Test has spawned 'models/props_pipes/metal_pipe_002_end.mdl'.
[02:17:25]	Майкл Скофилд exited observer at their location.
[02:17:26]	Майкл Скофилд entered observer.
[02:17:27]	Майкл Скофилд exited observer at their location.
[02:17:27]	Майкл Скофилд entered observer.
[02:17:28]	Test Test has spawned 'models/props_pipes/metal_pipe_002_turn_45.mdl'.
[02:17:33]	W00KI exited observer at their location.
[02:17:39]	Майкл Скофилд exited observer at their location.
[02:17:40]	Майкл Скофилд entered observer.
[02:17:41]	Майкл Скофилд exited observer at their location.
[02:17:42]	Майкл Скофилд entered observer.
[02:17:56]	Test Test has spawned 'models/props_pipes/metal_pipe_002_turn_45.mdl'.
[02:18:05]	W00KI has spawned 'models/props/de_venice/clock_tower_pillar_1/bridge_railing_1.mdl'.
[02:18:13]	Майкл Скофилд exited observer at their location.
[02:18:13]	W00KI has spawned 'models/props/de_venice/clock_tower_pillar_1/bridge_railing_1.mdl'.
[02:18:15]	Майкл Скофилд entered observer.
[02:18:30]	Майкл Скофилд exited observer at their location.
[02:18:35]	W00KI has spawned 'models/props/de_venice/st_mark_spire_1/st_mark_spire_1.mdl'.
[02:18:51]	Test Test exited observer at their location.
[02:18:57]	Test Test has spawned 'models/props_vehicles/trailer_003.mdl'.
[02:19:04]	Test Test has spawned 'models/props_electric/control_panel_004.mdl'.
[02:19:09]	Test Test has spawned 'models/props_electric/control_panel_005.mdl'.
[02:19:09]	W00KI entered observer.
[02:19:10]	W00KI exited observer at their location.
[02:19:13]	Майкл Скофилд entered observer.
[02:19:14]	Майкл Скофилд exited observer at their location.
[02:19:15]	Майкл Скофилд entered observer.
[02:19:16]	W00KI entered observer.
[02:19:17]	Test Test has spawned 'models/props_electric/control_panel_003.mdl'.
[02:19:19]	W00KI exited observer at their location.
[02:19:20]	Майкл Скофилд exited observer at their location.
[02:19:21]	Майкл Скофилд entered observer.
[02:19:24]	Майкл Скофилд exited observer at their location.
[02:19:24]	Майкл Скофилд entered observer.
[02:19:25]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:19:26]	Егор Егор has spawned 'models/props_downtown/bed_motel01.mdl'.
[02:19:29]	Test Test entered observer.
[02:19:30]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:19:31]	Test Test exited observer at their location.
[02:19:33]	Test Test entered observer.
[02:19:33]	Test Test exited observer at their location.
[02:19:34]	Test Test entered observer.
[02:19:35]	Test Test exited observer at their location.
[02:19:35]	Test Test entered observer.
[02:19:36]	Test Test exited observer at their location.
[02:19:36]	Test Test entered observer.
[02:19:37]	Test Test exited observer at their location.
[02:19:37]	Test Test entered observer.
[02:19:38]	Test Test exited observer at their location.
[02:19:39]	Test Test entered observer.
[02:19:42]	Test Test exited observer at their location.
[02:19:42]	Егор Егор has spawned 'models/props_interiors/side_table_square.mdl'.
[02:19:42]	Test Test entered observer.
[02:19:43]	Test Test exited observer at their location.
[02:19:44]	Test Test entered observer.
[02:19:45]	Test Test exited observer at their location.
[02:19:46]	Test Test entered observer.
[02:19:46]	Test Test exited observer at their location.
[02:19:47]	Test Test entered observer.
[02:19:47]	W00KI ran 'take' on item 'Flashlight' (#42)
[02:19:47]	W00KI has gained a 'Flashlight' #42.
[02:19:50]	Test Test exited observer at their location.
[02:19:51]	Test Test entered observer.
[02:19:51]	Test Test exited observer at their location.
[02:19:52]	Test Test entered observer.
[02:19:53]	Test Test exited observer at their location.
[02:19:53]	Test Test entered observer.
[02:19:55]	Test Test exited observer at their location.
[02:19:55]	Test Test entered observer.
[02:19:56]	Test Test exited observer at their location.
[02:19:56]	Test Test entered observer.
[02:19:57]	W00KI entered observer.
[02:19:57]	Test Test exited observer at their location.
[02:19:58]	Test Test entered observer.
[02:19:58]	Test Test exited observer at their location.
[02:19:59]	Test Test entered observer.
[02:20:00]	Test Test exited observer at their location.
[02:20:00]	Test Test entered observer.
[02:20:03]	Test Test exited observer at their location.
[02:20:03]	Test Test entered observer.
[02:20:04]	Test Test exited observer at their location.
[02:20:04]	Test Test entered observer.
[02:20:07]	W00KI exited observer at their location.
[02:20:07]	Test Test exited observer at their location.
[02:20:07]	Test Test entered observer.
[02:20:10]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:20:10]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:20:11]	Егор Егор has spawned 'models/props/cs_office/microwave.mdl'.
[02:20:13]	Test Test exited observer at their location.
[02:20:19]	Егор Егор has spawned 'models/props_interiors/coffee_maker.mdl'.
[02:20:19]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:20:21]	Test Test has spawned 'models/props_c17/FurnitureCouch001a.mdl'.
[02:20:28]	W00KI entered observer.
[02:20:31]	Егор Егор has spawned 'models/props_office/desk_01.mdl'.
[02:20:35]	Test Test has spawned 'models/props_junk/PushCart01a.mdl'.
[02:20:35]	Егор Егор has spawned 'models/env/furniture/largedesk/largedesk.mdl'.
[02:20:44]	W00KI exited observer at their location.
[02:20:45]	Егор Егор has spawned 'models/props/cs_office/chair_office.mdl'.
[02:20:45]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:20:46]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:20:49]	Егор Егор has spawned 'models/U4Lab/chair_office_a.mdl'.
[02:20:50]	Майкл Скофилд exited observer at their location.
[02:20:51]	W00KI entered observer.
[02:20:51]	Test Test entered observer.
[02:20:51]	Майкл Скофилд entered observer.
[02:20:52]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:20:56]	Test Test exited observer at their location.
[02:20:56]	W00KI exited observer at their location.
[02:20:58]	Test Test entered observer.
[02:20:58]	Test Test exited observer at their location.
[02:21:00]	Test Test entered observer.
[02:21:01]	Test Test exited observer at their location.
[02:21:01]	Test Test entered observer.
[02:21:03]	Егор Егор has spawned 'models/union/props/terminal.mdl'.
[02:21:13]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:13]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:13]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:13]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:13]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:13]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:15]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:15]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:15]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:15]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:15]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:15]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:16]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:16]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:16]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:16]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:16]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:16]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:17]	Test Test exited observer at their location.
[02:21:17]	Test Test entered observer.
[02:21:18]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:18]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:18]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:18]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:18]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:18]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:20]	Test Test exited observer at their location.
[02:21:20]	Test Test entered observer.
[02:21:21]	Test Test exited observer at their location.
[02:21:21]	Test Test entered observer.
[02:21:22]	Test Test exited observer at their location.
[02:21:22]	Test Test entered observer.
[02:21:22]	Test Test exited observer at their location.
[02:21:23]	Test Test entered observer.
[02:21:23]	Test Test exited observer at their location.
[02:21:24]	Test Test entered observer.
[02:21:24]	Test Test exited observer at their location.
[02:21:25]	Test Test entered observer.
[02:21:25]	Test Test exited observer at their location.
[02:21:26]	Test Test entered observer.
[02:21:26]	Test Test exited observer at their location.
[02:21:27]	Test Test entered observer.
[02:21:27]	Test Test exited observer at their location.
[02:21:28]	Test Test entered observer.
[02:21:28]	Test Test exited observer at their location.
[02:21:28]	Test Test entered observer.
[02:21:29]	Test Test exited observer at their location.
[02:21:29]	Test Test entered observer.
[02:21:29]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:29]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:29]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:29]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:29]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:29]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:30]	Test Test exited observer at their location.
[02:21:30]	Test Test entered observer.
[02:21:30]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:30]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:30]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:30]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:30]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:30]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:31]	Test Test exited observer at their location.
[02:21:31]	Test Test entered observer.
[02:21:32]	Test Test exited observer at their location.
[02:21:32]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:32]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:32]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:32]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:32]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:32]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:21:32]	Test Test entered observer.
[02:21:33]	Test Test exited observer at their location.
[02:21:33]	Test Test entered observer.
[02:21:33]	Test Test exited observer at their location.
[02:21:34]	Test Test entered observer.
[02:21:34]	Test Test exited observer at their location.
[02:21:35]	Test Test entered observer.
[02:21:35]	Test Test exited observer at their location.
[02:21:35]	Builder Bob entered observer.
[02:21:36]	Test Test entered observer.
[02:21:36]	Test Test exited observer at their location.
[02:21:37]	Test Test entered observer.
[02:21:38]	Test Test exited observer at their location.
[02:21:38]	Test Test entered observer.
[02:21:38]	W00KI has spawned 'models/c24_exterior/c24_nex_pillar.mdl'.
[02:21:42]	Builder Bob exited observer at their location.
[02:21:43]	Builder Bob entered observer.
[02:21:43]	Builder Bob exited observer at their location.
[02:21:43]	Builder Bob entered observer.
[02:21:44]	Builder Bob exited observer at their location.
[02:21:44]	Builder Bob entered observer.
[02:21:45]	Builder Bob exited observer at their location.
[02:21:45]	Builder Bob entered observer.
[02:21:46]	Builder Bob exited observer at their location.
[02:21:46]	Builder Bob entered observer.
[02:21:47]	Builder Bob exited observer at their location.
[02:21:47]	Builder Bob entered observer.
[02:21:48]	Builder Bob exited observer at their location.
[02:21:48]	Builder Bob entered observer.
[02:21:52]	Майкл Скофилд exited observer at their location.
[02:21:53]	Майкл Скофилд entered observer.
[02:21:53]	W00KI has spawned 'models/c24_exterior/c24_nex_pillar.mdl'.
[02:21:54]	Test Test exited observer at their location.
[02:21:54]	W00KI has spawned 'models/c24_exterior/c24_nex_pillar.mdl'.
[02:21:57]	W00KI has spawned 'models/c24_exterior/c24_nex_pillar.mdl'.
[02:22:02]	Test Test has spawned 'models/props_junk/TrashDumpster01a.mdl'.
[02:22:02]	Test Test entered observer.
[02:22:06]	Егор Егор has spawned 'models/union/props/gc_trays.mdl'.
[02:22:08]	Test Test has spawned 'models/props_junk/cardboard_box003a.mdl'.
[02:22:11]	Егор Егор has spawned 'models/union/props/desktidy.mdl'.
[02:22:12]	Test Test exited observer at their location.
[02:22:13]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_64.mdl'.
[02:22:20]	Test Test has spawned 'models/props_trainstation/bench_indoor001a.mdl'.
[02:22:22]	W00KI entered observer.
[02:22:28]	Test Test entered observer.
[02:22:30]	Test Test exited observer at their location.
[02:22:31]	Test Test entered observer.
[02:22:35]	Test Test exited observer at their location.
[02:22:36]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_128.mdl'.
[02:22:47]	Test Test has spawned 'models/props_debris/concrete_debris256barricade001a.mdl'.
[02:22:47]	Test Test entered observer.
[02:22:56]	Test Test exited observer at their location.
[02:22:59]	Builder Bob exited observer at their location.
[02:23:00]	Builder Bob entered observer.
[02:23:01]	Builder Bob exited observer at their location.
[02:23:02]	Builder Bob entered observer.
[02:23:02]	Builder Bob exited observer at their location.
[02:23:03]	Builder Bob entered observer.
[02:23:07]	Егор Егор has spawned 'models/props_interiors/refrigerator03.mdl'.
[02:23:10]	Builder Bob exited observer at their location.
[02:23:10]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_128.mdl'.
[02:23:13]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_128.mdl'.
[02:23:13]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_128.mdl'.
[02:23:14]	Test Test has spawned 'models/props_debris/wall001a_base.mdl'.
[02:23:15]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_128.mdl'.
[02:23:16]	Test Test has spawned 'models/props_debris/walldestroyed05a.mdl'.
[02:23:16]	Builder Bob has spawned a 'Entity [3282][ix_vendor]'.
[02:23:17]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_128.mdl'.
[02:23:18]	Егор Егор has spawned 'models/props_interiors/chair01.mdl'.
[02:23:22]	Егор Егор has spawned 'models/props_interiors/chair01.mdl'.
[02:23:24]	W00KI exited observer at their location.
[02:23:28]	W00KI has spawned 'models/c24_interior/c24_wnd_curtains.mdl'.
[02:23:30]	Test Test entered observer.
[02:23:41]	Test Test exited observer at their location.
[02:23:47]	Егор Егор has spawned 'models/env/decor/tall_plant_b/tall_plant_b.mdl'.
[02:23:49]	Test Test entered observer.
[02:23:50]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:23:52]	Test Test exited observer at their location.
[02:24:10]	Test Test has spawned 'models/props_debris/concrete_wall01a.mdl'.
[02:24:10]	Test Test entered observer.
[02:24:12]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:24:20]	Test Test exited observer at their location.
[02:24:25]	Test Test entered observer.
[02:24:29]	W00KI entered observer.
[02:24:32]	Test Test exited observer at their location.
[02:24:43]	Test Test has spawned 'models/props_equipment/sleeping_bag2.mdl'.
[02:24:48]	W00KI exited observer at their location.
[02:24:52]	Test Test entered observer.
[02:24:54]	Егор Егор has spawned 'models/union/props/union_tv_small.mdl'.
[02:25:03]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:03]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:04]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:04]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:05]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:05]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:06]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:06]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:10]	Test Test exited observer at their location.
[02:25:11]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:11]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:12]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:12]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:14]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:14]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:15]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:15]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:17]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:17]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:19]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:19]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:20]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:20]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:21]	Test Test entered observer.
[02:25:23]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:23]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:25]	Test Test exited observer at their location.
[02:25:25]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:25]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:26]	W00KI entered observer.
[02:25:27]	W00KI exited observer at their location.
[02:25:28]	W00KI entered observer.
[02:25:30]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:30]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:31]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:31]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:32]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:32]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:33]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:33]	W00KI has spawned 'models/props_urban/hotel_curtain001.mdl'.
[02:25:34]	Test Test has spawned 'models/props_debris/wall001a_base.mdl'.
[02:25:36]	W00KI exited observer at their location.
[02:25:51]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_128.mdl'.
[02:26:10]	Test Test has spawned 'models/props_debris/wall001a_base.mdl'.
[02:26:10]	Егор Егор exited observer at their location.
[02:26:10]	Егор Егор entered observer.
[02:26:11]	Test Test entered observer.
[02:26:23]	Test Test exited observer at their location.
[02:26:41]	Test Test entered observer.
[02:26:41]	Test Test exited observer at their location.
[02:26:42]	Test Test entered observer.
[02:26:46]	Test Test exited observer at their location.
[02:26:47]	Test Test entered observer.
[02:26:50]	Егор Егор has spawned 'models/props_interiors/refrigerator03.mdl'.
[02:26:54]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_128.mdl'.
[02:26:55]	Test Test exited observer at their location.
[02:26:55]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_128.mdl'.
[02:26:56]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_128.mdl'.
[02:26:57]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_128.mdl'.
[02:26:57]	Егор Егор has spawned 'models/props/cs_office/microwave.mdl'.
[02:26:58]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_128.mdl'.
[02:27:04]	Егор Егор has spawned 'models/props_interiors/coffee_maker.mdl'.
[02:27:10]	Test Test has spawned 'models/props_debris/walldestroyed02a.mdl'.
[02:27:10]	Test Test entered observer.
[02:27:12]	Егор Егор has spawned 'models/props_interiors/chair01.mdl'.
[02:27:15]	Егор Егор has spawned 'models/props_interiors/chair01.mdl'.
[02:27:16]	W00KI entered observer.
[02:27:20]	W00KI exited observer at their location.
[02:27:23]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_128.mdl'.
[02:27:29]	Test Test exited observer at their location.
[02:27:35]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_128.mdl'.
[02:27:36]	W00KI has spawned 'models/c24_interior/c24_int_walltrim_128.mdl'.
[02:27:38]	Test Test entered observer.
[02:27:39]	Егор Егор has spawned 'models/props_downtown/bed_motel01.mdl'.
[02:27:40]	W00KI entered observer.
[02:27:48]	W00KI exited observer at their location.
[02:27:49]	Test Test exited observer at their location.
[02:27:50]	Егор Егор has spawned 'models/props_interiors/side_table_square.mdl'.
[02:27:52]	Test Test entered observer.
[02:27:53]	Test Test exited observer at their location.
[02:27:58]	Test Test entered observer.
[02:28:06]	Test Test exited observer at their location.
[02:28:10]	Егор Егор has spawned 'models/env/decor/plant_decofern/plant_decofern.mdl'.
[02:28:11]	Test Test entered observer.
[02:28:12]	Test Test exited observer at their location.
[02:28:13]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:13]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:13]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:13]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:13]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:13]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:15]	Test Test entered observer.
[02:28:16]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:16]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:16]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:16]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:16]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:16]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:16]	Test Test exited observer at their location.
[02:28:17]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:17]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:17]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:17]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:17]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:17]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:25]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:25]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:25]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:25]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:25]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:25]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:27]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:27]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:27]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:27]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:27]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:27]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:28]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:28]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:28]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:28]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:28]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[02:28:28]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
